League,Year,blueTeamTag,bResult,rResult,redTeamTag
NALCS,2015,TL,1,0,NME
NALCS,2015,C9,0,1,CLG
NALCS,2015,DIG,0,1,TSM
NALCS,2015,TDK,0,1,TIP
NALCS,2015,T8,0,1,GV
NALCS,2015,T8,0,1,TL
NALCS,2015,DIG,0,1,CLG
NALCS,2015,GV,0,1,TIP
NALCS,2015,NME,0,1,TSM
NALCS,2015,TDK,1,0,C9
NALCS,2015,NME,0,1,DIG
NALCS,2015,CLG,1,0,T8
NALCS,2015,TSM,0,1,C9
NALCS,2015,GV,0,1,TDK
NALCS,2015,TL,1,0,TIP
NALCS,2015,T8,0,1,C9
NALCS,2015,TIP,1,0,GV
NALCS,2015,TL,1,0,CLG
NALCS,2015,CLG,0,1,TL
NALCS,2015,TL,1,0,CLG
NALCS,2015,CLG,0,1,TL
NALCS,2015,TIP,1,0,GV
NALCS,2015,GV,1,0,TIP
NALCS,2015,GV,0,1,TIP
NALCS,2015,GV,0,1,TIP
NALCS,2015,C9,0,1,TL
NALCS,2015,TL,1,0,C9
NALCS,2015,C9,1,0,TL
NALCS,2015,TL,0,1,C9
NALCS,2015,C9,1,0,TL
NALCS,2015,TSM,0,1,TIP
NALCS,2015,TIP,0,1,TSM
NALCS,2015,TIP,0,1,TSM
NALCS,2015,TIP,0,1,TSM
NALCS,2015,TIP,1,0,TL
NALCS,2015,TL,1,0,TIP
NALCS,2015,TL,0,1,TIP
NALCS,2015,TL,1,0,TIP
NALCS,2015,TIP,0,1,TL
NALCS,2015,TSM,0,1,C9
NALCS,2015,C9,0,1,TSM
NALCS,2015,TSM,1,0,C9
NALCS,2015,C9,0,1,TSM
NALCS,2015,TIP,1,0,DIG
NALCS,2015,DIG,0,1,TIP
NALCS,2015,TIP,1,0,DIG
NALCS,2015,GV,0,1,TSM
NALCS,2015,GV,1,0,TSM
NALCS,2015,TSM,1,0,GV
NALCS,2015,GV,0,1,TSM
NALCS,2015,CLG,1,0,TIP
NALCS,2015,TIP,0,1,CLG
NALCS,2015,CLG,1,0,TIP
NALCS,2015,TL,0,1,TSM
NALCS,2015,TSM,1,0,TL
NALCS,2015,TL,1,0,TSM
NALCS,2015,TSM,1,0,TL
NALCS,2015,TL,1,0,TIP
NALCS,2015,TIP,1,0,TL
NALCS,2015,TL,1,0,TIP
NALCS,2015,TIP,0,1,TL
NALCS,2015,CLG,1,0,TSM
NALCS,2015,TSM,0,1,CLG
NALCS,2015,CLG,1,0,TSM
NALCS,2015,C9,0,1,GV
NALCS,2015,C9,0,1,GV
NALCS,2015,C9,1,0,GV
NALCS,2015,C9,1,0,GV
NALCS,2015,C9,1,0,GV
NALCS,2015,TIP,1,0,C9
NALCS,2015,C9,0,1,TIP
NALCS,2015,TIP,0,1,C9
NALCS,2015,C9,1,0,TIP
NALCS,2015,TIP,0,1,C9
NALCS,2015,TL,0,1,C9
